Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429267,61664910393.24928,0.5010881990728194
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44762396754,10604968581.895864,0.9141984648931063
SGDRegressor,7.29939817283616e+17,5.592159385346132e+35,-4.5244439539805227e+24
ANN,199186.11370563201,61448434482.95053,0.5028396390015528
RandomForest,98374.76060416838,14994949080.589485,0.8786804845267843
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
